,072 Z 5min,,,,,072 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,14,2,3,0,0,18,4,2
5,0,0,14,2,3,0,0,18,4,2
10,0,0,14,2,3,0,0,18,4,2
15,0,0,14,2,3,0,0,18,4,2
20,0,0,14,2,3,0,0,18,4,2
25,0,0,14,2,3,0,0,18,4,2
30,0,0,14,2,3,0,0,18,4,2
35,0,0,14,2,3,0,0,18,4,2
40,0,0,14,2,3,0,0,18,4,2
45,0,0,14,2,3,0,0,18,4,2
50,0,0,14,2,3,0,0,18,4,2
55,0,0,14,2,3,0,0,18,4,2
60,0,0,7,1,3,0,0,7,2,2
65,0,0,7,1,3,0,0,7,2,2
70,0,0,7,1,3,0,0,7,2,2
75,0,0,7,1,3,0,0,7,2,2
80,0,0,7,1,3,0,0,7,2,2
85,0,0,7,1,3,0,0,7,2,2
90,0,0,7,1,3,0,0,7,2,2
95,0,0,7,1,3,0,0,7,2,2
100,0,0,7,1,3,0,0,7,2,2
105,0,0,7,1,3,0,0,7,2,2
110,0,0,7,1,3,0,0,7,2,2
115,0,0,7,1,3,0,0,7,2,2
120,0,0,6,1,2,0,0,5,2,2
125,0,0,6,1,2,0,0,5,2,2
130,0,0,6,1,2,0,0,5,2,2
135,0,0,6,1,2,0,0,5,2,2
140,0,0,6,1,2,0,0,5,2,2
145,0,0,6,1,2,0,0,5,2,2
150,0,0,6,1,2,0,0,5,2,2
155,0,0,6,1,2,0,0,5,2,2
160,0,0,6,1,2,0,0,5,2,2
165,0,0,6,1,2,0,0,5,2,2
170,0,0,6,1,2,0,0,5,2,2
175,0,0,6,1,2,0,0,5,2,2
180,0,0,11,2,2,0,0,6,2,3
185,0,0,11,2,2,0,0,6,2,3
190,0,0,11,2,2,0,0,6,2,3
195,0,0,11,2,2,0,0,6,2,3
200,0,0,11,2,2,0,0,6,2,3
205,0,0,11,2,2,0,0,6,2,3
210,0,0,11,2,2,0,0,6,2,3
215,0,0,11,2,2,0,0,6,2,3
220,0,0,11,2,2,0,0,6,2,3
225,0,0,11,2,2,0,0,6,2,3
230,0,0,11,2,2,0,0,6,2,3
235,0,0,11,2,2,0,0,6,2,3
240,0,0,31,3,4,0,1,17,4,5
245,0,0,31,3,4,0,1,17,4,5
250,0,0,31,3,4,0,1,17,4,5
255,0,0,31,3,4,0,1,17,4,5
260,0,0,31,3,4,0,1,17,4,5
265,0,0,31,3,4,0,1,17,4,5
270,0,0,31,3,4,0,1,17,4,5
275,0,0,31,3,4,0,1,17,4,5
280,0,0,31,3,4,0,1,17,4,5
285,0,0,31,3,4,0,1,17,4,5
290,0,0,31,3,4,0,1,17,4,5
295,0,0,31,3,4,0,1,17,4,5
300,0,1,104,12,28,0,1,68,14,22
305,0,1,104,12,28,0,1,68,14,22
310,0,1,104,12,28,0,1,68,14,22
315,0,1,104,12,28,0,1,68,14,22
320,0,1,104,12,28,0,1,68,14,22
325,0,1,104,12,28,0,1,68,14,22
330,0,1,104,12,28,0,1,68,14,22
335,0,1,104,12,28,0,1,68,14,22
340,0,1,104,12,28,0,1,68,14,22
345,0,1,104,12,28,0,1,68,14,22
350,0,1,104,12,28,0,1,68,14,22
355,0,1,104,12,28,0,1,68,14,22
360,0,1,175,19,26,0,2,150,24,28
365,0,1,175,19,26,0,2,150,24,28
370,0,1,175,19,26,0,2,150,24,28
375,0,1,175,19,26,0,2,150,24,28
380,0,1,175,19,26,0,2,150,24,28
385,0,1,175,19,26,0,2,150,24,28
390,0,1,175,19,26,0,2,150,24,28
395,0,1,175,19,26,0,2,150,24,28
400,0,1,175,19,26,0,2,150,24,28
405,0,1,175,19,26,0,2,150,24,28
410,0,1,175,19,26,0,2,150,24,28
415,0,1,175,19,26,0,2,150,24,28
420,0,1,163,19,20,0,2,152,23,19
425,0,1,163,19,20,0,2,152,23,19
430,0,1,163,19,20,0,2,152,23,19
435,0,1,163,19,20,0,2,152,23,19
440,0,1,163,19,20,0,2,152,23,19
445,0,1,163,19,20,0,2,152,23,19
450,0,1,163,19,20,0,2,152,23,19
455,0,1,163,19,20,0,2,152,23,19
460,0,1,163,19,20,0,2,152,23,19
465,0,1,163,19,20,0,2,152,23,19
470,0,1,163,19,20,0,2,152,23,19
475,0,1,163,19,20,0,2,152,23,19
480,0,1,137,18,22,1,2,124,23,21
485,0,1,137,18,22,1,2,124,23,21
490,0,1,137,18,22,1,2,124,23,21
495,0,1,137,18,22,1,2,124,23,21
500,0,1,137,18,22,1,2,124,23,21
505,0,1,137,18,22,1,2,124,23,21
510,0,1,137,18,22,1,2,124,23,21
515,0,1,137,18,22,1,2,124,23,21
520,0,1,137,18,22,1,2,124,23,21
525,0,1,137,18,22,1,2,124,23,21
530,0,1,137,18,22,1,2,124,23,21
535,0,1,137,18,22,1,2,124,23,21
540,0,1,118,16,25,1,2,105,22,24
545,0,1,118,16,25,1,2,105,22,24
550,0,1,118,16,25,1,2,105,22,24
555,0,1,118,16,25,1,2,105,22,24
560,0,1,118,16,25,1,2,105,22,24
565,0,1,118,16,25,1,2,105,22,24
570,0,1,118,16,25,1,2,105,22,24
575,0,1,118,16,25,1,2,105,22,24
580,0,1,118,16,25,1,2,105,22,24
585,0,1,118,16,25,1,2,105,22,24
590,0,1,118,16,25,1,2,105,22,24
595,0,1,118,16,25,1,2,105,22,24
600,0,1,114,16,25,1,2,104,24,26
605,0,1,114,16,25,1,2,104,24,26
610,0,1,114,16,25,1,2,104,24,26
615,0,1,114,16,25,1,2,104,24,26
620,0,1,114,16,25,1,2,104,24,26
625,0,1,114,16,25,1,2,104,24,26
630,0,1,114,16,25,1,2,104,24,26
635,0,1,114,16,25,1,2,104,24,26
640,0,1,114,16,25,1,2,104,24,26
645,0,1,114,16,25,1,2,104,24,26
650,0,1,114,16,25,1,2,104,24,26
655,0,1,114,16,25,1,2,104,24,26
660,0,1,116,17,25,0,2,110,25,23
665,0,1,116,17,25,0,2,110,25,23
670,0,1,116,17,25,0,2,110,25,23
675,0,1,116,17,25,0,2,110,25,23
680,0,1,116,17,25,0,2,110,25,23
685,0,1,116,17,25,0,2,110,25,23
690,0,1,116,17,25,0,2,110,25,23
695,0,1,116,17,25,0,2,110,25,23
700,0,1,116,17,25,0,2,110,25,23
705,0,1,116,17,25,0,2,110,25,23
710,0,1,116,17,25,0,2,110,25,23
715,0,1,116,17,25,0,2,110,25,23
720,0,2,127,17,24,0,3,117,25,21
725,0,2,127,17,24,0,3,117,25,21
730,0,2,127,17,24,0,3,117,25,21
735,0,2,127,17,24,0,3,117,25,21
740,0,2,127,17,24,0,3,117,25,21
745,0,2,127,17,24,0,3,117,25,21
750,0,2,127,17,24,0,3,117,25,21
755,0,2,127,17,24,0,3,117,25,21
760,0,2,127,17,24,0,3,117,25,21
765,0,2,127,17,24,0,3,117,25,21
770,0,2,127,17,24,0,3,117,25,21
775,0,2,127,17,24,0,3,117,25,21
780,0,2,137,19,25,0,3,121,25,22
785,0,2,137,19,25,0,3,121,25,22
790,0,2,137,19,25,0,3,121,25,22
795,0,2,137,19,25,0,3,121,25,22
800,0,2,137,19,25,0,3,121,25,22
805,0,2,137,19,25,0,3,121,25,22
810,0,2,137,19,25,0,3,121,25,22
815,0,2,137,19,25,0,3,121,25,22
820,0,2,137,19,25,0,3,121,25,22
825,0,2,137,19,25,0,3,121,25,22
830,0,2,137,19,25,0,3,121,25,22
835,0,2,137,19,25,0,3,121,25,22
840,0,2,139,19,27,0,3,135,27,24
845,0,2,139,19,27,0,3,135,27,24
850,0,2,139,19,27,0,3,135,27,24
855,0,2,139,19,27,0,3,135,27,24
860,0,2,139,19,27,0,3,135,27,24
865,0,2,139,19,27,0,3,135,27,24
870,0,2,139,19,27,0,3,135,27,24
875,0,2,139,19,27,0,3,135,27,24
