,335 Z 5min,,,,,335 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,19,1,4,0,0,26,2,3
5,0,0,19,1,4,0,0,26,2,3
10,0,0,19,1,4,0,0,26,2,3
15,0,0,19,1,4,0,0,26,2,3
20,0,0,19,1,4,0,0,26,2,3
25,0,0,19,1,4,0,0,26,2,3
30,0,0,19,1,4,0,0,26,2,3
35,0,0,19,1,4,0,0,26,2,3
40,0,0,19,1,4,0,0,26,2,3
45,0,0,19,1,4,0,0,26,2,3
50,0,0,19,1,4,0,0,26,2,3
55,0,0,19,1,4,0,0,26,2,3
60,0,0,10,1,3,0,0,11,1,3
65,0,0,10,1,3,0,0,11,1,3
70,0,0,10,1,3,0,0,11,1,3
75,0,0,10,1,3,0,0,11,1,3
80,0,0,10,1,3,0,0,11,1,3
85,0,0,10,1,3,0,0,11,1,3
90,0,0,10,1,3,0,0,11,1,3
95,0,0,10,1,3,0,0,11,1,3
100,0,0,10,1,3,0,0,11,1,3
105,0,0,10,1,3,0,0,11,1,3
110,0,0,10,1,3,0,0,11,1,3
115,0,0,10,1,3,0,0,11,1,3
120,0,0,9,1,3,0,0,7,1,3
125,0,0,9,1,3,0,0,7,1,3
130,0,0,9,1,3,0,0,7,1,3
135,0,0,9,1,3,0,0,7,1,3
140,0,0,9,1,3,0,0,7,1,3
145,0,0,9,1,3,0,0,7,1,3
150,0,0,9,1,3,0,0,7,1,3
155,0,0,9,1,3,0,0,7,1,3
160,0,0,9,1,3,0,0,7,1,3
165,0,0,9,1,3,0,0,7,1,3
170,0,0,9,1,3,0,0,7,1,3
175,0,0,9,1,3,0,0,7,1,3
180,0,0,14,2,2,0,0,11,1,4
185,0,0,14,2,2,0,0,11,1,4
190,0,0,14,2,2,0,0,11,1,4
195,0,0,14,2,2,0,0,11,1,4
200,0,0,14,2,2,0,0,11,1,4
205,0,0,14,2,2,0,0,11,1,4
210,0,0,14,2,2,0,0,11,1,4
215,0,0,14,2,2,0,0,11,1,4
220,0,0,14,2,2,0,0,11,1,4
225,0,0,14,2,2,0,0,11,1,4
230,0,0,14,2,2,0,0,11,1,4
235,0,0,14,2,2,0,0,11,1,4
240,0,1,32,3,7,0,1,31,2,6
245,0,1,32,3,7,0,1,31,2,6
250,0,1,32,3,7,0,1,31,2,6
255,0,1,32,3,7,0,1,31,2,6
260,0,1,32,3,7,0,1,31,2,6
265,0,1,32,3,7,0,1,31,2,6
270,0,1,32,3,7,0,1,31,2,6
275,0,1,32,3,7,0,1,31,2,6
280,0,1,32,3,7,0,1,31,2,6
285,0,1,32,3,7,0,1,31,2,6
290,0,1,32,3,7,0,1,31,2,6
295,0,1,32,3,7,0,1,31,2,6
300,1,3,104,7,34,1,2,103,8,27
305,1,3,104,7,34,1,2,103,8,27
310,1,3,104,7,34,1,2,103,8,27
315,1,3,104,7,34,1,2,103,8,27
320,1,3,104,7,34,1,2,103,8,27
325,1,3,104,7,34,1,2,103,8,27
330,1,3,104,7,34,1,2,103,8,27
335,1,3,104,7,34,1,2,103,8,27
340,1,3,104,7,34,1,2,103,8,27
345,1,3,104,7,34,1,2,103,8,27
350,1,3,104,7,34,1,2,103,8,27
355,1,3,104,7,34,1,2,103,8,27
360,1,5,202,13,28,2,3,215,14,34
365,1,5,202,13,28,2,3,215,14,34
370,1,5,202,13,28,2,3,215,14,34
375,1,5,202,13,28,2,3,215,14,34
380,1,5,202,13,28,2,3,215,14,34
385,1,5,202,13,28,2,3,215,14,34
390,1,5,202,13,28,2,3,215,14,34
395,1,5,202,13,28,2,3,215,14,34
400,1,5,202,13,28,2,3,215,14,34
405,1,5,202,13,28,2,3,215,14,34
410,1,5,202,13,28,2,3,215,14,34
415,1,5,202,13,28,2,3,215,14,34
420,2,5,208,15,22,2,3,199,13,23
425,2,5,208,15,22,2,3,199,13,23
430,2,5,208,15,22,2,3,199,13,23
435,2,5,208,15,22,2,3,199,13,23
440,2,5,208,15,22,2,3,199,13,23
445,2,5,208,15,22,2,3,199,13,23
450,2,5,208,15,22,2,3,199,13,23
455,2,5,208,15,22,2,3,199,13,23
460,2,5,208,15,22,2,3,199,13,23
465,2,5,208,15,22,2,3,199,13,23
470,2,5,208,15,22,2,3,199,13,23
475,2,5,208,15,22,2,3,199,13,23
480,2,4,172,13,25,2,3,166,11,23
485,2,4,172,13,25,2,3,166,11,23
490,2,4,172,13,25,2,3,166,11,23
495,2,4,172,13,25,2,3,166,11,23
500,2,4,172,13,25,2,3,166,11,23
505,2,4,172,13,25,2,3,166,11,23
510,2,4,172,13,25,2,3,166,11,23
515,2,4,172,13,25,2,3,166,11,23
520,2,4,172,13,25,2,3,166,11,23
525,2,4,172,13,25,2,3,166,11,23
