,50 B off 1,,,,,50 B off 2,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0
5,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0
10,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,0
15,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0
20,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0
25,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,0
30,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0
35,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0
40,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
45,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
50,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0
55,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
60,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
65,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
70,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
75,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0,3,0,1
80,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
85,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
90,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
95,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1
100,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
110,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
115,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
120,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
125,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
130,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
135,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
140,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
145,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
150,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
155,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
160,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
165,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
170,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
175,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1
180,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0
185,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
190,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
195,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,2,0,0,2,0,1
200,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,1,1
205,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1
210,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0,3,0,1
215,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,3,0,1
220,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
225,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,3,0,1
230,0,0,4,1,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,4,1,1
235,0,0,3,0,1,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2,0,0,2,0,2,0,0,3,0,1
240,0,0,3,1,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,3,0,0,3,1,2
245,0,0,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,4,0,1
250,0,0,4,0,1,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,4,0,2
255,0,0,6,0,2,0,0,4,0,2,0,0,0,0,0,0,0,3,0,2,0,0,4,0,2,0,0,4,0,3,0,0,6,0,2
260,0,0,5,1,1,0,0,3,0,2,0,0,0,0,0,0,0,3,0,1,0,0,3,0,2,0,0,3,0,2,0,0,6,1,1
265,0,0,7,1,1,0,0,4,1,2,0,0,0,0,0,0,0,4,1,2,0,0,4,1,2,0,0,4,1,2,0,0,7,1,2
270,0,0,8,1,1,0,0,5,0,1,0,0,0,0,0,0,0,5,0,1,0,0,5,0,1,0,0,5,0,1,0,0,9,1,1
275,0,1,10,0,1,0,0,7,0,2,0,0,1,0,0,0,0,6,0,1,0,0,7,0,2,0,0,6,0,2,0,1,11,0,1
280,0,0,10,1,2,0,0,6,1,2,0,0,1,0,0,0,0,6,1,2,0,0,6,1,2,0,0,6,1,3,0,0,11,1,2
285,0,0,9,1,2,0,0,6,1,3,0,0,1,0,0,0,0,5,1,2,0,0,6,1,3,0,0,6,1,3,0,0,10,1,2
290,0,0,9,1,1,0,0,6,1,2,0,0,1,0,0,0,0,5,1,2,0,0,6,1,2,0,0,5,1,2,0,0,9,1,2
295,0,0,8,1,1,0,0,5,1,2,0,0,0,0,0,0,0,5,1,2,0,0,5,1,2,0,0,5,1,2,0,0,9,1,2
300,0,0,11,1,3,0,0,7,0,4,0,0,1,0,0,0,0,6,0,4,0,0,7,0,4,0,0,7,0,5,0,0,11,1,4
305,0,0,10,1,2,0,0,7,1,4,0,0,1,0,0,0,0,6,1,3,0,0,7,1,4,0,0,6,1,4,0,0,11,1,3
310,0,0,13,1,3,0,0,8,1,4,0,0,1,0,0,0,0,8,1,3,0,0,8,1,4,0,0,8,1,4,0,0,14,1,3
315,0,0,16,1,3,0,0,10,1,4,0,0,1,0,0,0,0,9,1,3,0,0,10,1,4,0,0,10,1,4,0,0,17,1,3
320,0,1,17,2,2,0,0,11,1,4,0,0,1,0,0,0,0,10,1,3,0,0,11,1,4,0,0,11,1,4,0,1,19,2,3
325,0,1,20,2,2,0,1,13,1,3,0,0,1,0,0,0,1,12,1,3,0,1,13,1,3,0,1,13,1,4,0,1,22,2,3
330,0,1,24,3,3,0,1,15,2,4,0,0,1,0,0,0,1,14,2,4,0,1,15,2,4,0,1,15,2,5,0,1,26,3,4
335,0,1,25,3,2,0,1,17,2,4,0,0,2,0,0,0,1,15,2,3,0,1,17,2,4,0,1,16,2,4,0,1,27,3,3
340,0,1,28,2,3,0,1,18,1,4,0,0,2,0,0,0,1,17,1,4,0,1,18,1,4,0,1,18,1,5,0,1,31,2,4
345,0,1,30,3,2,0,1,20,2,3,0,0,2,0,0,0,1,18,2,3,0,1,20,2,3,0,1,19,2,4,0,1,32,3,3
350,0,1,31,4,3,0,1,20,2,4,0,0,2,0,0,0,1,19,2,3,0,1,20,2,4,0,1,20,2,4,0,1,34,4,3
355,0,1,31,3,2,0,1,20,2,4,0,0,2,0,0,0,1,19,2,3,0,1,20,2,4,0,1,20,2,4,0,1,34,3,3
360,0,1,35,5,2,0,1,23,3,4,0,0,2,0,0,0,1,21,3,3,0,1,23,3,4,0,1,22,3,4,0,1,38,5,3
365,0,1,39,4,3,0,1,25,2,4,0,0,2,0,0,0,1,23,2,3,0,1,25,2,4,0,1,24,2,4,0,2,42,4,3
370,0,1,42,5,3,0,1,27,3,4,0,0,3,0,0,0,1,25,3,3,0,1,27,3,4,0,1,26,3,4,0,2,45,5,3
375,0,1,44,6,3,0,0,29,4,4,0,0,3,0,0,0,0,26,3,4,0,0,29,4,4,0,0,28,3,5,0,1,48,6,4
380,0,2,51,6,4,0,1,33,4,5,0,0,3,0,0,0,1,30,3,4,0,1,33,4,5,0,1,32,4,6,0,2,55,6,4
385,0,1,50,8,4,0,1,32,5,5,0,0,3,0,0,0,1,29,5,4,0,1,32,5,5,0,1,31,5,6,0,1,54,8,4
390,0,2,56,8,3,0,1,37,5,5,0,0,3,0,0,0,1,33,5,4,0,1,36,5,5,0,1,35,5,5,0,2,61,8,4
395,0,2,59,8,4,0,2,38,5,5,0,0,4,0,0,0,1,35,5,4,0,2,38,5,5,0,1,37,5,6,0,3,63,9,4
400,0,2,61,8,4,0,1,40,6,6,0,0,4,1,0,0,1,36,5,5,0,1,40,6,6,0,1,38,5,7,0,2,66,9,5
405,0,2,62,7,4,0,1,41,5,6,0,0,4,0,0,0,1,37,4,5,0,1,40,5,6,0,1,39,5,7,0,2,67,8,5
410,0,3,62,8,4,0,2,40,5,6,0,0,4,0,0,0,2,37,5,4,0,2,40,5,5,0,2,39,5,6,0,3,67,9,5
415,0,2,62,7,4,0,1,40,5,5,0,0,4,0,0,0,1,37,4,4,0,1,40,5,5,0,1,39,4,6,0,2,67,8,4
420,0,1,59,7,4,0,1,39,5,6,0,0,4,0,0,0,1,35,4,4,0,1,39,5,5,0,1,37,4,6,0,1,64,8,5
425,0,2,61,8,4,0,1,40,6,6,0,0,4,1,0,0,1,36,5,4,0,1,40,6,5,0,1,38,5,6,0,2,66,9,5
430,0,1,63,8,4,0,1,41,5,6,0,0,4,0,0,0,1,37,5,5,0,1,41,5,6,0,1,39,5,7,0,2,67,9,5
435,0,1,61,8,5,0,1,39,6,7,0,0,4,1,0,0,1,36,5,5,0,1,39,6,7,0,1,38,5,7,0,1,65,9,6
