Time,51 B off,,,,,51 B on,,,,,51 Z off,,,,,51 Z on,,,,
Veh. Class,MOTC,CAR,DELIV,BUS,TRUCK,MOTC,CAR,DELIV,BUS,TRUCK,MOTC,CAR,DELIV,BUS,TRUCK,MOTC,CAR,DELIV,BUS,TRUCK
0,0,6,1,0,0,0,3,0,0,0,0,5,0,0,0,0,4,1,0,0
5,0,6,1,0,0,0,2,0,0,0,0,5,0,0,0,0,4,1,0,0
10,0,5,1,0,0,0,2,0,0,0,0,5,0,0,0,0,4,1,0,0
15,0,5,1,0,0,0,2,0,0,0,0,5,0,0,0,0,4,1,0,0
20,0,5,1,0,0,0,2,0,0,0,0,4,0,0,0,0,3,1,0,0
25,0,5,1,0,0,0,2,0,0,0,0,4,0,0,0,0,3,1,0,0
30,0,4,1,0,0,0,2,0,0,0,0,4,0,0,0,0,3,1,0,0
35,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,1,0,0
40,0,4,1,0,0,0,2,0,0,0,0,3,0,0,0,0,2,1,0,0
45,0,3,1,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0
50,0,3,1,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0
55,0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0
60,0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0
65,0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0
70,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0
75,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0
80,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0
85,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0
90,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
95,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
100,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
105,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0
110,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
115,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
120,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
125,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
130,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
135,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
140,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
145,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
150,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
155,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0
160,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
165,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
170,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
175,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
180,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
185,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
190,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0
195,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0
200,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0
205,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0
210,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0
215,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0
220,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0
225,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0,0
230,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0,0
235,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0,0
240,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0,0
245,0,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,0,0
250,0,5,1,0,0,0,4,0,0,0,0,5,0,0,0,0,6,1,0,0
255,0,7,1,0,0,0,5,0,0,0,0,7,0,0,0,0,7,1,0,0
260,0,10,1,0,0,0,6,0,0,0,0,8,0,0,0,0,8,1,0,0
265,0,11,1,0,0,0,6,1,0,0,0,9,0,0,0,0,9,1,0,0
270,0,12,1,0,0,0,7,1,0,0,0,11,0,0,0,0,10,1,0,0
275,0,13,1,0,0,0,8,1,0,0,0,11,0,0,0,0,11,1,0,0
280,0,11,1,0,0,0,7,1,0,1,0,9,1,0,0,0,10,1,0,1
285,0,9,1,0,1,0,8,1,0,1,0,8,1,0,0,0,10,1,0,2
290,0,7,1,0,1,0,8,1,0,1,0,7,1,0,1,0,10,1,0,2
295,0,6,1,0,1,0,8,1,0,2,0,6,1,0,1,0,12,2,0,2
300,0,6,1,0,0,0,9,1,0,3,0,6,1,0,0,0,12,2,0,5
305,0,6,1,0,1,0,10,1,0,8,0,5,1,0,0,0,13,2,0,12
310,0,8,1,0,1,0,11,2,0,6,0,7,1,0,1,0,16,2,0,8
315,0,10,2,0,2,0,14,2,0,6,0,8,1,0,1,0,20,3,0,9
320,0,12,1,0,2,0,17,2,0,5,0,11,1,0,1,1,23,3,0,7
325,0,14,1,0,2,0,21,3,0,5,0,13,1,0,1,0,29,3,0,6
330,0,17,2,0,2,0,23,3,0,4,0,15,1,0,1,1,32,4,0,6
335,0,19,2,0,2,0,28,3,0,4,0,17,2,0,2,1,37,5,0,5
340,0,21,3,0,3,0,28,4,0,4,0,18,2,0,3,1,38,5,0,5
345,0,22,3,0,3,0,29,5,0,4,0,20,2,0,2,1,40,7,0,6
350,0,22,3,0,3,0,31,6,0,4,0,19,2,0,2,1,42,8,0,6
355,0,24,3,0,3,0,32,6,0,4,0,20,3,0,2,1,44,9,0,6
360,0,25,3,0,3,0,35,7,0,4,0,22,3,0,2,1,47,9,0,6
365,0,26,3,0,2,0,38,7,0,5,0,23,3,0,2,1,52,9,0,6
370,0,29,4,0,3,0,40,7,0,4,0,25,3,0,2,1,54,10,0,6
375,0,34,4,0,3,0,39,7,0,5,0,29,4,0,2,1,53,10,0,6
380,1,36,5,0,3,0,40,8,0,4,0,32,4,0,3,1,53,10,0,6
385,1,38,5,0,3,1,42,8,0,4,0,34,4,0,3,1,55,10,0,5
390,1,39,5,0,4,1,41,7,0,4,0,34,5,0,3,1,55,10,0,5
395,0,39,5,0,4,1,40,7,0,4,0,34,5,0,3,1,53,9,0,5
400,0,38,6,0,4,0,40,7,0,4,0,34,5,0,4,1,53,9,0,5
405,0,37,6,0,4,1,39,7,0,4,0,33,5,0,4,1,52,9,0,5
410,0,36,6,0,4,1,40,6,0,3,0,31,5,0,4,1,53,9,0,5
415,0,34,6,0,4,1,40,7,0,4,0,29,5,0,3,1,54,9,0,5
420,0,34,6,0,4,1,42,7,0,4,0,29,5,0,3,1,55,9,0,5
425,0,34,6,0,4,1,43,6,0,4,0,30,5,0,3,1,56,9,0,5
430,1,35,6,0,4,1,41,6,0,4,0,30,5,0,3,1,55,9,0,6
435,1,35,6,0,4,1,41,6,0,4,0,31,5,0,3,1,55,9,0,6
440,1,38,6,0,4,1,41,6,0,5,0,33,6,0,4,1,55,9,0,6
445,1,39,6,0,4,1,42,6,0,4,0,34,6,0,3,1,56,9,0,6
450,1,38,6,0,4,1,42,7,0,4,0,34,6,0,3,1,55,9,0,6
455,1,39,6,0,4,1,41,6,0,4,0,34,6,0,3,1,55,9,0,6
460,1,38,7,0,4,1,39,6,0,4,0,33,6,0,3,1,51,8,0,6
465,1,36,7,0,4,1,38,6,0,4,0,31,6,0,4,1,49,8,0,6
470,1,34,6,0,4,0,36,6,0,4,0,30,6,0,4,1,47,7,0,6
475,1,31,6,0,4,0,34,6,0,5,0,27,5,0,4,1,45,7,0,6
480,0,28,6,0,4,0,34,5,0,5,0,25,5,0,4,1,44,7,0,6
