,51 B off,,,,,51 B on,,,,,51 Z off,,,,,51 Z on,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,6,1,0,0,0,5,1,0,0,0,5,1,0,0,0,7,1,0
5,0,0,6,1,0,0,0,5,1,0,0,0,5,1,0,0,0,6,1,0
10,0,0,5,1,0,0,0,4,1,0,0,0,4,1,0,0,0,6,1,0
15,0,0,5,1,0,0,0,4,1,0,0,0,4,1,0,0,0,6,1,0
20,0,0,5,1,0,0,0,4,1,0,0,0,4,1,0,0,0,5,1,0
25,0,0,5,1,0,0,0,4,1,0,0,0,4,1,0,0,0,5,1,0
30,0,0,4,1,0,0,0,4,1,0,0,0,3,1,0,0,0,5,1,0
35,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0
40,0,0,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0,4,1,0
45,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0
50,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
55,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
60,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
65,0,0,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
70,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
75,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
80,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
85,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0
90,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
95,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0
100,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0
105,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0
110,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0
115,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
120,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
125,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
130,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
135,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
140,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
145,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
150,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
155,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
160,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
165,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
170,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
175,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
180,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
185,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
190,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
195,0,0,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
200,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
205,0,0,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
210,0,0,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
215,0,0,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
220,0,0,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0
225,0,0,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0,4,1,0
230,0,0,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0,4,1,0
235,0,0,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0,4,1,0
240,0,0,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0,4,1,0
245,0,0,5,1,0,0,0,4,1,0,0,0,4,1,0,0,0,5,1,0
250,0,0,7,1,0,0,0,5,1,0,0,0,5,1,0,0,0,7,1,0
255,0,0,9,1,0,0,0,7,1,0,0,0,7,1,0,0,0,10,1,0
260,0,0,11,1,0,0,0,9,1,0,0,0,9,1,0,0,0,12,1,0
265,0,0,12,1,0,0,0,9,1,0,0,0,9,1,0,0,0,13,1,0
270,0,0,13,1,0,0,0,11,1,0,0,0,11,1,0,0,0,15,1,0
275,0,0,14,1,0,0,0,12,1,0,0,0,11,1,0,0,0,16,1,0
280,0,0,12,1,0,0,0,10,1,1,0,0,10,1,1,0,0,14,1,1
285,0,0,12,1,1,0,0,9,1,1,0,0,9,1,1,0,0,13,1,1
290,0,0,11,1,1,0,0,9,1,2,0,0,9,1,2,0,0,12,1,1
295,0,0,11,2,1,0,0,9,1,2,0,0,9,1,2,0,0,12,2,2
300,0,0,11,2,2,0,0,9,1,3,0,0,9,1,3,0,0,12,2,2
305,0,0,11,2,5,0,0,9,1,7,0,0,9,1,8,0,0,13,2,5
310,0,0,14,2,3,0,0,11,2,5,0,0,11,2,6,0,0,16,2,4
315,0,0,17,3,4,0,0,14,2,6,0,0,14,2,7,0,0,19,3,5
320,0,0,21,2,3,0,0,17,2,5,0,0,17,2,6,0,0,24,3,4
325,0,0,25,3,3,0,0,21,2,4,0,0,20,2,5,0,0,29,3,4
330,0,0,29,3,3,0,0,24,3,4,0,0,23,3,5,0,0,33,4,3
335,0,0,33,4,3,0,0,27,3,4,0,0,27,3,5,0,0,38,4,3
340,0,0,35,5,3,0,0,28,4,5,0,0,28,4,6,0,0,39,5,4
345,0,0,37,6,3,0,0,30,5,5,0,0,30,5,6,0,0,42,6,4
350,0,0,38,6,3,0,0,31,5,5,0,0,30,5,6,0,0,43,7,4
355,0,0,40,7,3,0,0,32,6,5,0,0,32,6,6,0,0,45,8,4
360,0,0,43,7,3,0,0,35,6,5,0,0,34,6,6,0,0,48,8,4
365,0,0,46,7,3,0,0,38,6,5,0,0,37,6,6,0,0,52,8,4
370,0,0,49,8,3,0,0,40,6,5,0,0,39,6,6,0,0,55,9,4
375,0,0,51,8,3,0,0,42,7,5,0,0,41,7,6,0,0,58,9,4
380,0,1,53,9,3,0,1,44,7,5,0,1,43,7,6,0,1,60,10,4
385,0,1,56,9,3,0,1,46,7,5,0,1,45,7,6,0,1,63,10,4
390,0,1,56,9,3,0,1,46,7,5,0,1,45,7,6,0,1,63,10,4
395,0,1,55,9,3,0,1,45,7,5,0,1,44,7,6,0,1,62,10,4
400,0,0,55,9,4,0,0,45,7,5,0,0,44,7,6,0,0,62,10,4
405,0,1,53,9,4,0,1,44,7,5,0,1,43,7,6,0,1,60,10,4
410,0,1,53,9,3,0,1,43,7,5,0,1,43,7,6,0,1,60,10,4
415,0,1,52,9,3,0,1,42,7,5,0,1,42,7,6,0,1,59,10,4
420,0,1,53,9,3,0,1,43,7,5,0,1,43,7,6,0,1,60,10,4
425,0,1,54,9,3,0,1,44,7,5,0,1,43,7,6,0,1,61,10,4
430,0,1,53,9,4,0,1,44,7,5,0,1,43,7,6,0,1,60,10,4
435,0,1,54,9,4,0,1,44,7,5,0,1,43,7,6,0,1,61,10,4
440,0,1,55,9,4,0,1,45,7,6,0,1,44,7,7,0,1,62,10,5
445,0,1,57,9,4,0,1,46,7,5,0,1,45,7,6,0,1,64,10,4
450,0,1,56,9,4,0,1,46,8,5,0,1,45,7,6,0,1,63,10,4
455,0,1,56,9,4,0,1,46,7,5,0,1,45,7,6,0,1,63,10,4
460,0,1,53,9,4,0,1,44,7,5,0,1,43,7,6,0,1,60,10,4
465,0,1,51,9,4,0,1,42,7,6,0,1,41,7,7,0,1,58,10,5
470,0,1,49,8,4,0,1,40,7,6,0,1,39,7,7,0,1,55,9,5
475,0,1,45,8,4,0,1,37,6,6,0,1,36,6,7,0,1,51,9,5
480,0,0,43,8,4,0,0,35,6,6,0,0,35,6,7,0,0,49,9,5
485,0,0,43,8,4,0,0,35,6,6,0,0,34,6,7,0,0,48,9,5
490,0,0,43,7,4,0,0,35,6,6,0,0,34,6,7,0,0,48,8,5
495,0,0,44,7,4,0,0,36,5,6,0,0,35,5,7,0,0,50,7,5
500,0,0,42,7,4,0,0,35,5,6,0,0,34,5,7,0,0,48,7,5
505,0,0,43,7,4,0,0,35,5,6,0,0,35,5,7,0,0,49,7,5
510,0,0,42,6,5,0,0,34,5,7,0,0,34,5,8,0,0,47,7,5
515,0,0,42,6,4,0,0,34,5,6,0,0,34,5,7,0,0,47,7,5
520,0,0,40,6,4,0,0,33,5,6,0,0,32,5,7,0,0,45,7,5
525,0,0,38,6,4,0,0,31,5,6,0,0,31,5,7,0,0,43,7,5
530,0,0,35,6,4,0,0,29,5,6,0,0,28,5,7,0,0,40,7,5
535,0,0,33,6,4,0,0,27,5,6,0,0,27,5,7,0,0,37,7,5
540,0,0,32,6,4,0,0,26,5,6,0,0,26,5,7,0,0,37,7,5
545,0,0,32,6,4,0,0,26,5,6,0,0,26,5,7,0,0,36,6,5
550,0,0,33,6,4,0,0,27,5,6,0,0,26,5,7,0,0,37,6,5
555,0,0,33,5,5,0,0,27,4,7,0,0,27,4,8,0,0,38,6,5
560,0,0,33,6,4,0,0,27,5,6,0,0,26,5,7,0,0,37,6,5
565,0,0,34,6,4,0,0,28,5,6,0,0,27,5,7,0,0,38,6,5
570,0,0,33,6,4,0,0,27,5,6,0,0,27,5,7,0,0,38,6,5
575,0,0,34,6,4,0,0,28,5,6,0,0,27,5,7,0,0,38,7,5
580,0,0,34,6,4,0,0,28,5,6,0,0,28,5,7,0,0,39,7,5
585,0,0,34,6,4,0,0,28,5,6,0,0,27,5,7,0,0,39,7,5
590,0,0,33,6,4,0,0,27,5,6,0,0,26,5,7,0,0,37,6,5
595,0,0,32,6,4,0,0,26,5,6,0,0,26,5,7,0,0,36,6,5
