Detector;Time;qBus;qMotc;qCar;qDeliv;qTruck;qAll
072_B_SP;0;0;0;18;4;2;24
072_B_SP;5;0;0;18;4;2;24
072_B_SP;10;0;0;18;4;2;24
072_B_SP;15;0;0;18;4;2;24
072_B_SP;20;0;0;18;4;2;24
072_B_SP;25;0;0;18;4;2;24
072_B_SP;30;0;0;18;4;2;24
072_B_SP;35;0;0;18;4;2;24
072_B_SP;40;0;0;18;4;2;24
072_B_SP;45;0;0;18;4;2;24
072_B_SP;50;0;0;18;4;2;24
072_B_SP;55;0;0;18;4;2;24
072_B_SP;60;0;0;7;2;2;11
072_B_SP;65;0;0;7;2;2;11
072_B_SP;70;0;0;7;2;2;11
072_B_SP;75;0;0;7;2;2;11
072_B_SP;80;0;0;7;2;2;11
072_B_SP;85;0;0;7;2;2;11
072_B_SP;90;0;0;7;2;2;11
072_B_SP;95;0;0;7;2;2;11
072_B_SP;100;0;0;7;2;2;11
072_B_SP;105;0;0;7;2;2;11
072_B_SP;110;0;0;7;2;2;11
072_B_SP;115;0;0;7;2;2;11
072_B_SP;120;0;0;5;2;2;9
072_B_SP;125;0;0;5;2;2;9
072_B_SP;130;0;0;5;2;2;9
072_B_SP;135;0;0;5;2;2;9
072_B_SP;140;0;0;5;2;2;9
072_B_SP;145;0;0;5;2;2;9
072_B_SP;150;0;0;5;2;2;9
072_B_SP;155;0;0;5;2;2;9
072_B_SP;160;0;0;5;2;2;9
072_B_SP;165;0;0;5;2;2;9
072_B_SP;170;0;0;5;2;2;9
072_B_SP;175;0;0;5;2;2;9
072_B_SP;180;0;0;6;2;3;11
072_B_SP;185;0;0;6;2;3;11
072_B_SP;190;0;0;6;2;3;11
072_B_SP;195;0;0;6;2;3;11
072_B_SP;200;0;0;6;2;3;11
072_B_SP;205;0;0;6;2;3;11
072_B_SP;210;0;0;6;2;3;11
072_B_SP;215;0;0;6;2;3;11
072_B_SP;220;0;0;6;2;3;11
072_B_SP;225;0;0;6;2;3;11
072_B_SP;230;0;0;6;2;3;11
072_B_SP;235;0;0;6;2;3;11
072_B_SP;240;0;1;17;4;5;27
072_B_SP;245;0;1;17;4;5;27
072_B_SP;250;0;1;17;4;5;27
072_B_SP;255;0;1;17;4;5;27
072_B_SP;260;0;1;17;4;5;27
072_B_SP;265;0;1;17;4;5;27
072_B_SP;270;0;1;17;4;5;27
072_B_SP;275;0;1;17;4;5;27
072_B_SP;280;0;1;17;4;5;27
072_B_SP;285;0;1;17;4;5;27
072_B_SP;290;0;1;17;4;5;27
072_B_SP;295;0;1;17;4;5;27
072_B_SP;300;0;1;68;14;22;105
072_B_SP;305;0;1;68;14;22;105
072_B_SP;310;0;1;68;14;22;105
072_B_SP;315;0;1;68;14;22;105
072_B_SP;320;0;1;68;14;22;105
072_B_SP;325;0;1;68;14;22;105
072_B_SP;330;0;1;68;14;22;105
072_B_SP;335;0;1;68;14;22;105
072_B_SP;340;0;1;68;14;22;105
072_B_SP;345;0;1;68;14;22;105
072_B_SP;350;0;1;68;14;22;105
072_B_SP;355;0;1;68;14;22;105
072_B_SP;360;0;2;150;24;28;204
072_B_SP;365;0;2;150;24;28;204
072_B_SP;370;0;2;150;24;28;204
072_B_SP;375;0;2;150;24;28;204
072_B_SP;380;0;2;150;24;28;204
072_B_SP;385;0;2;150;24;28;204
072_B_SP;390;0;2;150;24;28;204
072_B_SP;395;0;2;150;24;28;204
072_B_SP;400;0;2;150;24;28;204
072_B_SP;405;0;2;150;24;28;204
072_B_SP;410;0;2;150;24;28;204
072_B_SP;415;0;2;150;24;28;204
072_B_SP;420;0;2;152;23;19;196
072_B_SP;425;0;2;152;23;19;196
072_B_SP;430;0;2;152;23;19;196
072_B_SP;435;0;2;152;23;19;196
072_B_SP;440;0;2;152;23;19;196
072_B_SP;445;0;2;152;23;19;196
072_B_SP;450;0;2;152;23;19;196
072_B_SP;455;0;2;152;23;19;196
072_B_SP;460;0;2;152;23;19;196
072_B_SP;465;0;2;152;23;19;196
072_B_SP;470;0;2;152;23;19;196
072_B_SP;475;0;2;152;23;19;196
072_B_SP;480;1;2;124;23;21;171
072_B_SP;485;1;2;124;23;21;171
072_B_SP;490;1;2;124;23;21;171
072_B_SP;495;1;2;124;23;21;171
072_B_SP;500;1;2;124;23;21;171
072_B_SP;505;1;2;124;23;21;171
072_B_SP;510;1;2;124;23;21;171
072_B_SP;515;1;2;124;23;21;171
072_B_SP;520;1;2;124;23;21;171
072_B_SP;525;1;2;124;23;21;171
072_B_SP;530;1;2;124;23;21;171
072_B_SP;535;1;2;124;23;21;171
072_B_SP;540;1;2;105;22;24;154
072_B_SP;545;1;2;105;22;24;154
072_B_SP;550;1;2;105;22;24;154
072_B_SP;555;1;2;105;22;24;154
072_B_SP;560;1;2;105;22;24;154
072_B_SP;565;1;2;105;22;24;154
072_B_SP;570;1;2;105;22;24;154
072_B_SP;575;1;2;105;22;24;154
072_B_SP;580;1;2;105;22;24;154
072_B_SP;585;1;2;105;22;24;154
072_B_SP;590;1;2;105;22;24;154
072_B_SP;595;1;2;105;22;24;154
072_B_SP;600;1;2;104;24;26;157
072_B_SP;605;1;2;104;24;26;157
072_B_SP;610;1;2;104;24;26;157
072_B_SP;615;1;2;104;24;26;157
072_B_SP;620;1;2;104;24;26;157
072_B_SP;625;1;2;104;24;26;157
072_B_SP;630;1;2;104;24;26;157
072_B_SP;635;1;2;104;24;26;157
072_B_SP;640;1;2;104;24;26;157
072_B_SP;645;1;2;104;24;26;157
